#Time       v(in)      i(Vin)    
 100.14E-9  0.         0.        
 100.35E-9  0.         0.        
 101.44E-9  0.         0.        
 104.68E-9  0.         0.        
 111.84E-9  0.         0.        
 125.15E-9  0.         0.        
 151.77E-9  0.         0.        
 178.39E-9  0.         0.        
 200.01E-9  0.         0.        
 200.02E-9  1.8       -0.30092   
 200.59E-9  1.8       -0.30092   
 200.78E-9  1.8       -0.30092   
 200.85E-9  1.8       -0.30092   
 200.93E-9  1.8       -0.30092   
 202.96E-9  1.8       -0.30092   
 205.E-9    1.8       -0.30092   
#Time       v(in)      i(Vin)    
 0.         0.         0.        
 10.E-12    0.         0.        
 14.E-12   -0.52       0.0017698 
 18.E-12   -1.04       0.014383  
 22.E-12   -1.3        0.040697  
 26.E-12   -1.3        0.040697  
 30.E-12   -1.3        0.040695  
 34.E-12   -1.3        0.040687  
 38.E-12   -1.3        0.040681  
 42.E-12   -1.3        0.040697  
 46.E-12   -1.3        0.040697  
 50.E-12   -1.3        0.040674  
 54.E-12   -1.3        0.040649  
 58.E-12   -1.3        0.040617  
 65.E-12   -1.3        0.040579  
 70.E-12   -1.3        0.040559  
 75.E-12   -1.3        0.040529  
 80.E-12   -1.3        0.04053   
 85.E-12   -1.3        0.04053   
 90.E-12   -1.3        0.040521  
 95.E-12   -1.3        0.040536  
 100.E-12  -1.3        0.040533  
 105.E-12  -1.3        0.04051   
 112.E-12  -1.3        0.0405    
 116.E-12  -1.3        0.040504  
 125.E-12  -1.3        0.040519  
 134.E-12  -1.3        0.040529  
 143.E-12  -1.3        0.0405    
 152.E-12  -1.3        0.04047   
 161.E-12  -1.3        0.040484  
 170.E-12  -1.3        0.04049   
 179.E-12  -1.3        0.040452  
 188.E-12  -1.3        0.040395  
 197.E-12  -1.3        0.04035   
 206.E-12  -1.3        0.040306  
 215.E-12  -1.3        0.04029   
 224.E-12  -1.3        0.040281  
 233.E-12  -1.3        0.040274  
 242.E-12  -1.3        0.040262  
 251.E-12  -1.3        0.040244  
 260.E-12  -1.3        0.040261  
 269.E-12  -1.3        0.040265  
 278.E-12  -1.3        0.04026   
 287.E-12  -1.3        0.04022   
 296.E-12  -1.3        0.040178  
 305.E-12  -1.3        0.040202  
 311.E-12  -1.3        0.040201  
 317.E-12  -1.3        0.040198  
 323.E-12  -1.3        0.040196  
 334.E-12  -1.3        0.040151  
 341.E-12  -1.3        0.040139  
 348.E-12  -1.3        0.040116  
 355.E-12  -1.3        0.040076  
 362.E-12  -1.3        0.040044  
 369.E-12  -1.3        0.040031  
 376.E-12  -1.3        0.04002   
 383.E-12  -1.3        0.04002   
 390.E-12  -1.3        0.040033  
 403.E-12  -1.3        0.040029  
 410.E-12  -1.3        0.040021  
 417.E-12  -1.3        0.040019  
 424.E-12  -1.3        0.040017  
 431.E-12  -1.3        0.040013  
 448.E-12  -1.3        0.039977  
 461.E-12  -1.3        0.039954  
 474.E-12  -1.3        0.039982  
 487.E-12  -1.3        0.039996  
 496.E-12  -1.3        0.039966  
 505.E-12  -1.3        0.039939  
 514.E-12  -1.3        0.039913  
 525.E-12  -1.3        0.039854  
 536.E-12  -1.3        0.039823  
 543.E-12  -1.3        0.039822  
 557.E-12  -1.3        0.039796  
 565.E-12  -1.3        0.039773  
 578.E-12  -1.3        0.039766  
 587.E-12  -1.3        0.039759  
 596.E-12  -1.3        0.039743  
 605.E-12  -1.3        0.039718  
